# Pavageau et all 1999 C*
# z/H   x/H=0.75   -   z/H   x/H=1.00   -  z/H   x/H=1.25
#
0.080210 109.77	0.20118 39.474	0.082786 40.226
0.080210 109.77	0.40105 49.248	0.24967 34.211
0.49967 72.180	0.89941 49.624	0.50197 30.075
0.49967 72.180	0.95069 39.850	0.74901 28.571
1.0033 14.286	1.0007 29.699	0.99869 21.805
 	 	 
