#	xx	yy	yy	k
0.000493827	2.07E-06	3.43E-09	5.28E-06	3.68E-06
0.0017284	1.02E-05	5.95E-08	2.61E-05	1.82E-05
0.00358025	2.64E-05	5.77E-07	7.02E-05	4.86E-05
0.00635802	4.55E-05	3.57E-06	0.000130911	9.00E-05
0.0105247	5.62E-05	1.44E-05	0.000182444	1.27E-04
0.0182096	5.61E-05	3.74E-05	0.000197335	1.45E-04
0.0287048	5.29E-05	6.81E-05	0.000173512	1.47E-04
0.0394538	5.21E-05	9.79E-05	0.000137803	1.44E-04
0.0504629	5.35E-05	0.000121792	0.000111359	1.43E-04
0.0617383	5.56E-05	0.000138207	9.63E-05	1.45E-04
0.0732864	5.72E-05	0.000147738	8.93E-05	1.47E-04
0.0851139	5.78E-05	0.000152075	8.63E-05	1.48E-04
0.0972277	5.76E-05	0.000153534	8.41E-05	1.48E-04
0.109634	5.64E-05	0.000153355	8.19E-05	1.46E-04
0.122341	5.46E-05	0.000151633	7.99E-05	1.43E-04
0.136096	5.32E-05	0.000148276	7.81E-05	1.40E-04
0.150925	5.29E-05	0.000143529	7.61E-05	1.36E-04
0.166112	5.35E-05	0.000137778	7.34E-05	1.32E-04
0.181667	5.46E-05	0.000130983	7.05E-05	1.28E-04
0.197598	5.54E-05	0.000123552	6.80E-05	1.23E-04
0.213915	5.54E-05	0.000116531	6.55E-05	1.19E-04
0.230626	5.47E-05	0.000110378	6.26E-05	1.14E-04
0.247741	5.38E-05	0.00010481	5.96E-05	1.09E-04
0.26527	5.31E-05	9.93E-05	5.71E-05	1.05E-04
0.283224	5.23E-05	9.34E-05	5.51E-05	1.00E-04
0.301611	5.09E-05	8.69E-05	5.35E-05	9.57E-05
0.320444	4.92E-05	7.96E-05	5.13E-05	9.00E-05
0.339732	4.73E-05	7.16E-05	4.81E-05	8.35E-05
0.359487	4.57E-05	6.36E-05	4.47E-05	7.70E-05
0.37972	4.44E-05	5.64E-05	4.13E-05	7.11E-05
0.400442	4.34E-05	5.02E-05	3.76E-05	6.57E-05
0.421665	4.28E-05	4.49E-05	3.40E-05	6.09E-05
0.443401	4.27E-05	4.03E-05	3.11E-05	5.70E-05
0.465664	4.25E-05	3.64E-05	2.88E-05	5.39E-05
0.488465	4.22E-05	3.32E-05	2.70E-05	5.12E-05
0.511537	4.16E-05	3.03E-05	2.58E-05	4.88E-05
0.534339	4.09E-05	2.79E-05	2.49E-05	4.68E-05
0.556601	4.01E-05	2.61E-05	2.43E-05	4.52E-05
0.578337	3.94E-05	2.46E-05	2.38E-05	4.39E-05
0.59956	3.88E-05	2.33E-05	2.35E-05	4.28E-05
0.620282	3.83E-05	2.22E-05	2.33E-05	4.19E-05
0.640515	3.82E-05	2.15E-05	2.34E-05	4.15E-05
0.660269	3.83E-05	2.11E-05	2.37E-05	4.15E-05
0.679558	3.83E-05	2.12E-05	2.42E-05	4.19E-05
0.69839	3.83E-05	2.17E-05	2.49E-05	4.25E-05
0.716778	3.83E-05	2.25E-05	2.59E-05	4.33E-05
0.734731	3.87E-05	2.36E-05	2.69E-05	4.46E-05
0.752261	3.97E-05	2.54E-05	2.81E-05	4.66E-05
0.769376	4.16E-05	2.81E-05	2.96E-05	4.96E-05
0.786087	4.46E-05	3.19E-05	3.18E-05	5.41E-05
0.802404	4.91E-05	3.69E-05	3.52E-05	6.06E-05
0.818335	5.57E-05	4.35E-05	4.01E-05	6.97E-05
0.833889	6.53E-05	5.24E-05	4.65E-05	8.21E-05
0.849077	7.86E-05	6.39E-05	5.45E-05	9.85E-05
0.863906	9.60E-05	7.83E-05	6.47E-05	1.20E-04
0.878384	0.000118815	9.50E-05	7.81E-05	1.46E-04
0.892521	0.00014912	0.00011343	9.56E-05	1.79E-04
0.906324	0.000187658	0.000133168	0.000116873	2.19E-04
0.9198	0.000233231	0.000153919	0.00014129	2.64E-04
0.932959	0.000282302	0.000174382	0.000167647	3.12E-04
0.945807	0.000332074	0.000193443	0.000193663	3.60E-04
0.958351	0.00038308	0.000210039	0.000216897	4.05E-04
0.970599	0.000433541	0.000223074	0.000236544	4.47E-04
0.982557	0.000480085	0.000232904	0.000253533	4.83E-04
0.994232	0.000521698	0.000239189	0.00026871	5.15E-04
1.00549	0.000555799	0.000241094	0.000281432	5.39E-04
1.01656	0.000579813	0.000239612	0.000290236	5.55E-04
1.02783	0.000593764	0.000236003	0.000293868	5.62E-04
1.03928	0.000598448	0.000231108	0.000292939	5.61E-04
